token,term_freq,doc_freq,category,canonical_form
셀,2828,2207,OTHER,셀
가성비,2828,2500,OTHER,가성비
팝업,2812,1379,OTHER,팝업
하루,2792,2547,OTHER,하루
해당,2791,2516,OTHER,해당
미,2773,2369,OTHER,미
셋,2770,2198,OTHER,셋
next,2763,1694,OTHER,next
image,2757,1688,OTHER,image
토,2745,2026,OTHER,토
입,2742,2332,OTHER,입
가지,2741,2337,OTHER,가지
답변,2721,2585,OTHER,답변
전체,2719,2081,OTHER,전체
추가,2715,2316,OTHER,추가
톤,2711,1957,OTHER,톤
실물,2706,2367,OTHER,실물
회원,2692,2353,OTHER,회원
판매,2679,2114,OTHER,판매
스탠딩,2677,2216,OTHER,스탠딩
머리,2677,2001,OTHER,머리
발매,2666,2060,OTHER,발매
주소,2651,2569,OTHER,주소
나일론,2642,2096,STYLE,나일론
슈즈,2618,1893,ITEM,슈즈
여자,2616,2138,OTHER,여자
유,2599,2259,OTHER,유
다양,2598,1974,OTHER,다양
아워레가시,2598,1977,BRAND,아워레가시
재질,2588,2112,OTHER,재질
세터,2586,1937,BRAND,세터
기분,2577,2345,OTHER,기분
온,2570,2153,OTHER,온
그린,2570,2011,STYLE,그린
입문,2570,2308,OTHER,입문
소개,2560,1682,OTHER,소개
반바지,2546,2070,ITEM,반바지
관심,2535,2256,OTHER,관심
컬렉션,2524,1236,OTHER,컬렉션
sns,2520,2508,OTHER,sns
구매처,2517,2255,OTHER,구매처
프레이,2516,1965,BRAND,애프터프레이
스펙,2501,2279,OTHER,스펙
소매,2500,1775,OTHER,소매
다운,2498,1914,OTHER,다운
사이트,2498,2283,OTHER,사이트
걸,2484,2393,OTHER,걸
실루엣,2479,1531,STYLE,실루엣
애플,2475,2311,BRAND,애플
밑단,2471,1752,OTHER,밑단
브랜디드,2471,2095,BRAND,브랜디드
a,2463,1514,OTHER,a
운,2462,2087,OTHER,운
블레이저,2441,1795,ITEM,블레이저
여러분,2432,2318,OTHER,여러분
조합,2426,2016,OTHER,조합
지금,2422,2172,OTHER,지금
애프터,2410,1866,BRAND,애프터프레이
베스트,2393,1745,ITEM,베스트
길이,2392,1966,OTHER,길이
u,2382,1606,OTHER,u
메종미네드,2379,1963,BRAND,메종미네드
닥터,2373,2102,OTHER,닥터
워싱,2371,1766,STYLE,워싱
레이어드,2371,1938,STYLE,레이어드
뒤,2367,1911,OTHER,뒤
실,2362,2062,OTHER,실
오픈,2354,1124,OTHER,오픈
워치,2344,2149,ITEM,워치
예전,2343,2130,OTHER,예전
소,2343,1307,OTHER,소
카라,2340,1691,ITEM,카라
올해,2340,2049,OTHER,올해
목,2318,1868,OTHER,목
도,2303,2016,OTHER,도
덩크,2288,1961,ITEM,나이키덩크
얼마,2277,2169,OTHER,얼마
룸,2272,1895,OTHER,룸
v,2269,1617,OTHER,v
노스페이스,2268,1908,BRAND,노스페이스
로스트,2265,1965,OTHER,로스트
의견,2264,2100,OTHER,의견
테,2254,1711,OTHER,테
님,2251,2215,OTHER,님
클래식,2237,1767,STYLE,클래식
코튼,2236,1647,STYLE,코튼
시계,2235,1546,ITEM,시계
단추,2234,1499,OTHER,단추
매력,2233,1740,OTHER,매력
감성,2228,1675,STYLE,감성
핏더,2222,1945,STYLE,핏더사이즈
일반,2220,1897,OTHER,일반
우,2215,1948,OTHER,우
경우,2213,1566,OTHER,경우
자체,2210,1825,OTHER,자체
흰색,2208,1905,STYLE,흰색
선,2207,1885,OTHER,선
방문,2206,1679,OTHER,방문
밑,2203,1940,OTHER,밑
템포,2202,1931,OTHER,템포
옴므,2200,1824,BRAND,주앙옴므
