token,term_freq,doc_freq,category,canonical_form
카드,1518,1163,,
black,1505,1010,,
준비,1501,1280,,
에러,1500,1158,,
미국,1492,1007,,
시티,1490,1238,,
엠,1490,1149,,
취향,1489,1292,,
년대,1485,647,,
스톤,1480,1162,,
문의,1476,1244,,
발견,1475,1378,,
인증,1473,1437,,
색깔,1472,1337,,
허벅지,1471,1128,,
조금,1468,1364,,
싱,1463,1167,,
버튼,1460,1036,,
환불,1460,1019,,
유튜브,1458,1370,,
깡,1458,1254,,
아침,1457,1330,,
유명,1455,1161,,
창,1454,1154,,
김,1451,1372,,
턱,1451,1078,,
코드,1450,1225,,
컷,1450,1204,,
삼바,1450,1170,,
모어,1449,1248,,
이제,1449,1352,,
도착,1448,1302,,
을,1445,1158,,
초,1444,1307,,
느,1443,1200,,
프린팅,1438,1038,,
편집,1434,1161,,
저녁,1419,1311,,
가슴,1416,1146,,
맥스,1415,1252,,
슬림,1413,1158,,
의류,1412,1017,,
타이,1412,1051,,
매뉴얼,1411,1204,,
정리,1410,1174,,
파카,1409,983,,
폴리,1407,1006,,
토마스,1406,1215,,
시그니처,1400,1289,,
유니,1400,962,,
틱,1394,1203,,
이벤트,1394,1135,,
마감,1390,1053,,
와이프,1387,1053,,
카시오,1382,1268,,
라이트,1380,1082,,
모,1379,1259,,
저번,1375,1296,,
프리즘웍스,1372,1220,,
선호,1368,1254,,
맥,1368,982,,
밈더워드로브,1363,1193,,
스트레이트,1361,1135,,
아이보리,1359,1102,,
텀,1354,1139,,
진행,1354,982,,
로퍼,1352,1068,,
pants,1349,857,,
종류,1349,1235,,
도전,1346,1252,,
솔,1343,1059,,
검은색,1341,1151,,
대비,1337,1205,,
수아레,1337,1217,,
성수,1337,860,,
애,1336,1149,,
착용감,1335,1148,,
ma,1331,979,,
감기,1329,1227,,
비니,1328,1145,,
자연,1322,1074,,
문,1319,1095,,
"""고프코어",1314,1311,,
연출,1311,747,,
페이탈리즘,1310,1220,,
러닝,1309,901,,
박스,1308,974,,
신경,1306,1192,,
옷장,1305,1177,,
라벨,1303,957,,
토피,1303,1198,,
제작,1302,926,,
아울렛,1302,1018,,
내일,1300,1233,,
stu,1298,996,,
야드,1292,977,,
에어,1289,1111,,
커스,1287,1078,,
언더,1282,1105,,
회사,1279,1090,,
웨스턴,1277,860,,
고아캐,1275,1141,,
빅,1274,1097,,
오프라인,1272,1080,,
실버,1272,1020,,
회색,1265,1078,,
버즈릭슨,1264,883,,
누구,1253,1091,,
남,1253,1091,,
우리,1252,969,,
대학,1251,1113,,
은,1247,1158,,
슈퍼스타,1239,1124,,
피스,1237,1073,,
미드,1233,1012,,
캐쥬얼,1232,1133,,
밤,1232,1073,,
편안,1231,1019,,
텐,1230,985,,
커피,1230,916,,
반지,1230,996,,
시원,1227,1114,,
인디고,1226,861,,
슈퍼,1226,1109,,
가,1222,1078,,
발등,1218,1005,,
오피스,1216,953,,
주앙,1216,1057,,
uniqlo,1216,479,,
윙,1216,958,,
데이,1214,1001,,
젠틀,1214,1108,,
멋,1211,1074,,
락,1210,1053,,
워시,1209,923,,
캐치볼,1207,1079,,
근,1202,1183,,
밖,1197,1125,,
계열,1197,1049,,
동일,1197,1029,,
무엇,1196,1103,,
결정,1196,1002,,
퍼지,1192,1080,,
치,1190,1090,,
깔,1189,997,,
이용,1187,911,,
