YEAR,TOKEN_TYPE,token,count,share
2022,BRAND,헤리티지플로스,273,0.1936637203297249
2022,BRAND,헤지스,156,0.11066498304555708
2022,BRAND,호카,57,0.04043528226664586
2022,BRAND,휴먼메이드,134,0.0950583828724657
2023,BRAND,acg,232,0.1987952323419278
2023,BRAND,cp컴퍼니,117,0.10025449217243773
2023,BRAND,etce,1965,1.6837613428960694
2023,BRAND,jw앤더슨,118,0.10111136817391156
2023,BRAND,lee,168,0.14395516824760288
2023,BRAND,lmc,119,0.10196824417538539
2023,BRAND,mlb,199,0.17051832429329153
2023,BRAND,mmgl,210,0.1799439603095036
2023,BRAND,mmrb,484,0.4147279847133321
2023,BRAND,mngu,265,0.2270721403905641
2023,BRAND,new,175,0.14995330025791967
2023,BRAND,oam,483,0.4138711087118583
2023,BRAND,rrl,368,0.31533036854236823
2023,BRAND,ymclky,134,0.11482138419749278
2023,BRAND,구찌,254,0.21764650437435198
2023,BRAND,굿라이프웍스,137,0.11739201220191425
2023,BRAND,그라더스,130,0.11139388019159746
2023,BRAND,그라미치,169,0.1448120442490767
2023,BRAND,그레일즈,504,0.4318655047428087
2023,BRAND,그리쉬,148,0.12681764821812636
2023,BRAND,꼼데가르송,325,0.27848470047899365
2023,BRAND,나나미카,192,0.16452019228297474
2023,BRAND,나이키,5710,4.8927619684155506
2023,BRAND,네이더스,130,0.11139388019159746
2023,BRAND,노메뉴얼,175,0.14995330025791967
2023,BRAND,노스페이스,1064,0.9117160655681517
2023,BRAND,뉴발란스,4176,3.5783141821547
2023,BRAND,뉴에라,243,0.20822086835813988
2023,BRAND,뉴치프시크,218,0.18679896832129422
2023,BRAND,다이브인,118,0.10111136817391156
2023,BRAND,닥터마틴,592,0.5072705928725054
2023,BRAND,더뮤지엄비지터,639,0.5475437649417753
2023,BRAND,더콜디스트모먼트,194,0.16623394428592236
2023,BRAND,던스트,193,0.16537706828444856
2023,BRAND,데우스엑스마키나,256,0.21936025637729964
2023,BRAND,도프제이슨,1063,0.9108591895666778
2023,BRAND,드레익스,107,0.09168573215769946
2023,BRAND,드로우핏,712,0.6100957130493646
2023,BRAND,디스이즈네버댓,360,0.3084753605305776
2023,BRAND,디앤써,452,0.3873079526661697
2023,BRAND,디젤,566,0.48499181683418596
2023,BRAND,디키즈,285,0.2442096604200406
2023,BRAND,라코스테,100,0.08568760014738268
2023,BRAND,라퍼지스토어,651,0.5578262769594612
2023,BRAND,라프시몬스,217,0.1859420923198204
2023,BRAND,랄프로렌,398,0.34103664858658306
2023,BRAND,레드윙,220,0.18851272032424188
2023,BRAND,로맨틱무브,1217,1.042818093793647
2023,BRAND,루이비통,135,0.11567826019896661
2023,BRAND,르메르,674,0.5775344249933592
2023,BRAND,리넥츠,431,0.3693135566352193
2023,BRAND,리바이스,1032,0.8842960335209892
2023,BRAND,리복,444,0.38045294465437907
2023,BRAND,리얼 맥코이,47,0.04027317206926986
2023,BRAND,릭오웬스,299,0.2562059244406742
2023,BRAND,마틴로즈,1564,1.3401540663050648
2023,BRAND,마틴플랜,467,0.4001610926882771
2023,BRAND,메종마르지엘라,830,0.7112070812232761
2023,BRAND,메종미네드,894,0.7660471453176011
