SEASON,TOKEN_TYPE,token,count,share
Fall,BRAND,이지,312,0.34704455963159886
Fall,BRAND,인세인개러지,399,0.4438166002981024
Fall,BRAND,일꼬르소,262,0.2914284443060221
Fall,BRAND,자라,535,0.5950924339836711
Fall,BRAND,자바나스,1217,1.353696247024538
Fall,BRAND,젠틀몬스터,822,0.9143289359524815
Fall,BRAND,조던,1035,1.1512535872394385
Fall,BRAND,조셉앤스테이시,628,0.6985384084892439
Fall,BRAND,주앙옴므,930,1.0344597450557274
Fall,BRAND,지샥,123,0.13681564370091878
Fall,BRAND,지오다노,134,0.14905118907254566
Fall,BRAND,챔피온,155,0.1724099575092879
Fall,BRAND,카시오,257,0.2858668327734645
Fall,BRAND,칼하트wip,146,0.16239905675068408
Fall,BRAND,캐피탈,426,0.47384930257391383
Fall,BRAND,캡틴선샤인,195,0.2169028497697493
Fall,BRAND,컨버스,1490,1.6573602367021867
Fall,BRAND,코스,960,1.0678294142510734
Fall,BRAND,쿠어,1838,2.0444483993682008
Fall,BRAND,크롬하츠,253,0.2814175435474183
Fall,BRAND,클락스,512,0.5695090209339058
Fall,BRAND,키뮤어,334,0.3715156503748526
Fall,BRAND,키스,60,0.06673933839069209
Fall,BRAND,키코,166,0.18464550288091477
Fall,BRAND,킨치,422,0.46940001334786774
Fall,BRAND,테켓,161,0.1790838913483571
Fall,BRAND,토니웩,851,0.9465862828413161
Fall,BRAND,토피,260,0.28920379969299903
Fall,BRAND,톰브라운,150,0.16684834597673023
Fall,BRAND,팀버랜드,464,0.5161175502213521
Fall,BRAND,파라부트,105,0.11679384218371115
Fall,BRAND,파르티멘토,316,0.35149384885764495
Fall,BRAND,파타고니아,261,0.29031612199951057
Fall,BRAND,팔라스,138,0.1535004782985918
Fall,BRAND,페몬트,267,0.2969900558385798
Fall,BRAND,페이탈리즘,322,0.3581677826967142
Fall,BRAND,포터,1003,1.1156592734310693
Fall,BRAND,포터리,206,0.22913839514137618
Fall,BRAND,포트너스,182,0.20244265978509932
Fall,BRAND,폴로,1874,2.0844920024026163
Fall,BRAND,푸마,184,0.20466730439812242
Fall,BRAND,프라다,199,0.22135213899579542
Fall,BRAND,프라이탁,266,0.29587773353206825
Fall,BRAND,프로젝트지알,161,0.1790838913483571
Fall,BRAND,프리즘웍스,464,0.5161175502213521
Fall,BRAND,플랙,687,0.7641654245734244
Fall,BRAND,해칭룸,706,0.7852995483971436
Fall,BRAND,헤리티지플로스,207,0.23025071744788772
Fall,BRAND,헤지스,124,0.13792796600743032
Fall,BRAND,호카,96,0.10678294142510733
Fall,BRAND,휴먼메이드,251,0.2791928989343952
Spring,BRAND,acg,194,0.14338401046555457
Spring,BRAND,cp컴퍼니,160,0.11825485399220997
Spring,BRAND,etce,1418,1.0480336435059607
Spring,BRAND,jw앤더슨,318,0.2350315223095173
Spring,BRAND,lee,271,0.20029415894930563
Spring,BRAND,lmc,234,0.17294772396360705
Spring,BRAND,mlb,306,0.22616240826010156
Spring,BRAND,mmgl,347,0.25646521459560534
Spring,BRAND,mmrb,680,0.5025831294668923
Spring,BRAND,mngu,202,0.14929675316516508
Spring,BRAND,new,188,0.13894945344084672
Spring,BRAND,oam,548,0.4050228749233191
Spring,BRAND,rrl,2175,1.6075269214566041
Spring,BRAND,ymclky,103,0.07612656225748515
Spring,BRAND,구찌,357,0.26385614297011845
Spring,BRAND,굿라이프웍스,108,0.07982202644474173
Spring,BRAND,그라더스,281,0.20768508732381874
Spring,BRAND,그라미치,244,0.18033865233812021
Spring,BRAND,그레일즈,204,0.15077493884006768
Spring,BRAND,그리쉬,160,0.11825485399220997
Spring,BRAND,꼼데가르송,501,0.3702855115631074
Spring,BRAND,나나미카,446,0.3296354055032853
Spring,BRAND,나이키,6301,4.6570239687807184
Spring,BRAND,네이더스,289,0.21359783002342925
Spring,BRAND,노메뉴얼,127,0.09386479035631666
Spring,BRAND,노스페이스,802,0.5927524556359525
Spring,BRAND,뉴발란스,4474,3.306701354757171
Spring,BRAND,뉴에라,293,0.2165542013732345
Spring,BRAND,뉴치프시크,169,0.12490668952927177
Spring,BRAND,다이브인,162,0.11973303966711257
Spring,BRAND,닥터마틴,1087,0.8033939143095765
Spring,BRAND,더뮤지엄비지터,467,0.34515635508976283
Spring,BRAND,더콜디스트모먼트,196,0.1448621961404572
Spring,BRAND,던스트,175,0.12934124655397963
Spring,BRAND,데우스엑스마키나,251,0.1855123022002794
Spring,BRAND,도프제이슨,1278,0.944560646262777
Spring,BRAND,드레익스,389,0.2875071137685605
Spring,BRAND,드로우핏,672,0.4966703867672818
Spring,BRAND,디스이즈네버댓,392,0.2897243922809144
Spring,BRAND,디앤써,344,0.2542479360832514
Spring,BRAND,디젤,250,0.18477320936282807
Spring,BRAND,디키즈,480,0.35476456197662987
Spring,BRAND,라코스테,209,0.15447040302732426
Spring,BRAND,라퍼지스토어,709,0.5240168217529804
Spring,BRAND,라프시몬스,153,0.11308120413005078
Spring,BRAND,랄프로렌,798,0.5897960842861472
Spring,BRAND,레드윙,676,0.49962675811708707
Spring,BRAND,로맨틱무브,1325,0.9792980096229886
Spring,BRAND,루이비통,185,0.13673217492849277
Spring,BRAND,르메르,725,0.5358423071522014
Spring,BRAND,리넥츠,209,0.15447040302732426
Spring,BRAND,리바이스,2714,2.0058979608428613
Spring,BRAND,리복,376,0.27789890688169344
Spring,BRAND,리얼 맥코이,156,0.11529848264240472
Spring,BRAND,릭오웬스,360,0.2660734214824724
Spring,BRAND,마틴로즈,1849,1.3665826564474766
Spring,BRAND,마틴플랜,443,0.3274181269909313
Spring,BRAND,메종마르지엘라,1149,0.8492176702315578
Spring,BRAND,메종미네드,856,0.6326634688583234
Spring,BRAND,메종키츠네,225,0.16629588842654525
Spring,BRAND,모드나인,1999,1.4774465820651732
Spring,BRAND,모스콧,258,0.19068595206243857
Spring,BRAND,모이프,430,0.3178099201040643
Spring,BRAND,몽벨,119,0.08795204765670615
Spring,BRAND,무신사,131,0.0968211617061219
Spring,BRAND,무인양품,198,0.14634038181535983
Spring,BRAND,무탠다드,2829,2.090893637149762
Spring,BRAND,문선,190,0.14042763911574932
Spring,BRAND,미나브,419,0.30967989889209985
Spring,BRAND,미하라야스히로,677,0.5003658509545384
Spring,BRAND,밈더워드로브,439,0.32446175564112606
Spring,BRAND,바라쿠타,282,0.20842418016127004
Spring,BRAND,바버,568,0.4198047316723454
Spring,BRAND,반스,3003,2.2194957908662905
Spring,BRAND,발렌시아가,1514,1.1189865559012868
Spring,BRAND,버버리,168,0.12416759669182045
Spring,BRAND,버윅,179,0.13229761790378491
Spring,BRAND,버즈릭슨,489,0.3614163975136917
Spring,BRAND,버켄스탁,367,0.2712470713446316
Spring,BRAND,베이프,161,0.11899394682966127
Spring,BRAND,보테가베네타,300,0.22172785123539368
Spring,BRAND,브라운야드,438,0.3237226628036748
Spring,BRAND,브랜디드,1256,0.9283006038388482
Spring,BRAND,브론슨,627,0.46341120908197275
Spring,BRAND,브룩스브라더스,651,0.48114943718080433
Spring,BRAND,블랭크룸,360,0.2660734214824724
Spring,BRAND,비긴202,255,0.18846867355008462
Spring,BRAND,비바스튜디오,422,0.3118971774044538
Spring,BRAND,비얼디드키드,176,0.13008033939143096
Spring,BRAND,비이커,103,0.07612656225748515
Spring,BRAND,빔즈,289,0.21359783002342925
Spring,BRAND,사카이,187,0.1382103606033954
Spring,BRAND,생로랑,247,0.18255593085047414
Spring,BRAND,샤카웨어,483,0.3569818404889838
Spring,BRAND,세인트제임스,361,0.2668125143199237
Spring,BRAND,세터,1246,0.9209096754643351
Spring,BRAND,소니,222,0.16407860991419132
Spring,BRAND,솔리드옴므,219,0.1618613314018374
Spring,BRAND,수아레,408,0.30154987768013536
Spring,BRAND,슈펜,303,0.2239451297477476
Spring,BRAND,슈프림,1499,1.1079001633395171
Spring,BRAND,스캇,327,0.2416833578465791
Spring,BRAND,스톤아일랜드,829,0.6127079622471379
Spring,BRAND,스투시,2153,1.5912668790326754
Spring,BRAND,스튜디오니콜슨,193,0.14264491762810327
Spring,BRAND,아노블리어,157,0.11603757547985602
Spring,BRAND,아더에러,1401,1.0354690652692886
Spring,BRAND,아디다스,3309,2.445658199126392
Spring,BRAND,아르켓,178,0.1315585250663336
Spring,BRAND,아미,275,0.2032505302991109
Spring,BRAND,아스토플렉스,155,0.1145593898049534
Spring,BRAND,아식스,3114,2.3015350958233864
Spring,BRAND,아워레가시,990,0.7317019090767991
Spring,BRAND,아워셀브스,155,0.1145593898049534
Spring,BRAND,아워스코프,184,0.13599308209104147
Spring,BRAND,아이언레인저,270,0.1995550661118543
Spring,BRAND,아크테릭스,927,0.6851390603173665
Spring,BRAND,아트이프액츠,224,0.16555679558909395
Spring,BRAND,아페쎄,334,0.2468570077087383
Spring,BRAND,아프레쎄,246,0.1818168380130228
Spring,BRAND,안데르센,126,0.09312569751886535
Spring,BRAND,알렌느,451,0.3333308696905418
Spring,BRAND,애쉬크로프트,264,0.19512050908714643
Spring,BRAND,애프터프레이,1012,0.747961951500728
Spring,BRAND,애플,890,0.6577926253316679
Spring,BRAND,앤더슨벨,1661,1.2276332030066295
Spring,BRAND,어나더오피스,177,0.13081943222888226
Spring,BRAND,어널러코드,247,0.18255593085047414
Spring,BRAND,언더마이카,169,0.12490668952927177
Spring,BRAND,언타이틀,117,0.08647386198180353
Spring,BRAND,에센셜,219,0.1618613314018374
Spring,BRAND,에스티유오피스,521,0.38506736831213373
Spring,BRAND,에스피오나지,1065,0.7871338718856477
Spring,BRAND,엑슬림,109,0.08056111928219303
Spring,BRAND,예일,227,0.16777407410144787
Spring,BRAND,오가프,187,0.1382103606033954
Spring,BRAND,오어슬로우,2203,1.628221520905241
Spring,BRAND,오클리,210,0.1552094958647756
Spring,BRAND,와일드브릭스,219,0.1618613314018374
Spring,BRAND,요시다포터,187,0.1382103606033954
Spring,BRAND,우영미,286,0.2113805515110753
Spring,BRAND,우포스,287,0.2121196443485266
Spring,BRAND,웨이비니스,197,0.1456012889779085
Spring,BRAND,위더로드,255,0.18846867355008462
Spring,BRAND,위캔더스,132,0.09756025454357321
Spring,BRAND,유니온,1339,0.9896453093473071
Spring,BRAND,유니클로,4529,3.347351460816993
Spring,BRAND,유니폼브릿지,1373,1.0147744658206517
Spring,BRAND,유스,551,0.40724015343567305
Spring,BRAND,이얼즈어고,305,0.22542331542265023
Spring,BRAND,이지,501,0.3702855115631074
Spring,BRAND,인세인개러지,448,0.3311135911781879
Spring,BRAND,일꼬르소,177,0.13081943222888226
Spring,BRAND,자라,877,0.6481844184448009
Spring,BRAND,자바나스,1533,1.1330293198128618
Spring,BRAND,젠틀몬스터,1408,1.0406427151314477
Spring,BRAND,조던,2323,1.7169126613993984
Spring,BRAND,조셉앤스테이시,845,0.6245334476463589
Spring,BRAND,주앙옴므,1288,0.9519515746372902
Spring,BRAND,지샥,151,0.11160301845514815
Spring,BRAND,지오다노,284,0.2099023658361727
Spring,BRAND,챔피온,260,0.19216413773734117
Spring,BRAND,카시오,414,0.30598443470484327
Spring,BRAND,칼하트wip,240,0.17738228098831493
Spring,BRAND,캐피탈,584,0.4316302170715664
Spring,BRAND,캡틴선샤인,255,0.18846867355008462
Spring,BRAND,컨버스,2744,2.0280707459664007
Spring,BRAND,코스,1449,1.0709455214669514
Spring,BRAND,쿠어,1295,0.9571252244994494
Spring,BRAND,크롬하츠,389,0.2875071137685605
Spring,BRAND,클락스,663,0.49001855123022003
Spring,BRAND,키뮤어,273,0.20177234462420823
Spring,BRAND,키스,172,0.1271239680416257
Spring,BRAND,키코,198,0.14634038181535983
Spring,BRAND,킨치,440,0.3252008484785774
Spring,BRAND,테켓,170,0.12564578236672308
Spring,BRAND,토니웩,804,0.594230641310855
Spring,BRAND,토피,558,0.4124138032978323
Spring,BRAND,톰브라운,160,0.11825485399220997
Spring,BRAND,팀버랜드,726,0.5365813999896527
Spring,BRAND,파라부트,295,0.2180323870481371
Spring,BRAND,파르티멘토,370,0.27346434985698553
Spring,BRAND,파타고니아,271,0.20029415894930563
Spring,BRAND,팔라스,219,0.1618613314018374
Spring,BRAND,페몬트,243,0.1795995595006689
Spring,BRAND,페이탈리즘,481,0.3555036548140812
Spring,BRAND,포터,1888,1.3954072771080774
Spring,BRAND,포터리,345,0.25498702892070274
Spring,BRAND,포트너스,239,0.17664318815086363
Spring,BRAND,폴로,3945,2.915721243745427
Spring,BRAND,푸마,365,0.26976888566972895
Spring,BRAND,프라다,450,0.3325917768530905
Spring,BRAND,프라이탁,381,0.28159437106894997
Spring,BRAND,프로젝트지알,168,0.12416759669182045
Spring,BRAND,프리즘웍스,457,0.33776542671524973
Spring,BRAND,플랙,1039,0.7679174581119134
Spring,BRAND,해칭룸,802,0.5927524556359525
Spring,BRAND,헤리티지플로스,367,0.2712470713446316
Spring,BRAND,헤지스,149,0.11012483278024553
Spring,BRAND,호카,178,0.1315585250663336
Spring,BRAND,휴먼메이드,452,0.33406996252799315
Summer,BRAND,acg,174,0.19487282867990458
Summer,BRAND,cp컴퍼니,80,0.08959670284133543
Summer,BRAND,etce,986,1.1042793625194594
Summer,BRAND,jw앤더슨,168,0.18815307596680442
Summer,BRAND,lee,121,0.13551501304751984
Summer,BRAND,lmc,126,0.1411148069751033
Summer,BRAND,mlb,163,0.18255328203922097
Summer,BRAND,mmgl,337,0.3774261107191256
Summer,BRAND,mmrb,409,0.4580631432763274
Summer,BRAND,mngu,90,0.10079629069650238
Summer,BRAND,new,129,0.14447468333165342
Summer,BRAND,oam,369,0.4132647918556597
Summer,BRAND,rrl,2029,2.2723963758133703
Summer,BRAND,ymclky,141,0.1579141887578537
Summer,BRAND,구찌,271,0.3035088308750238
Summer,BRAND,굿라이프웍스,90,0.10079629069650238
Summer,BRAND,그라더스,148,0.16575390025647055
Summer,BRAND,그라미치,192,0.21503208681920508
Summer,BRAND,그레일즈,104,0.11647571369373608
Summer,BRAND,그리쉬,76,0.08511686769926867
Summer,BRAND,꼼데가르송,425,0.47598248384459446
Summer,BRAND,나나미카,273,0.30574874844605715
Summer,BRAND,나이키,4360,4.883020304852781
Summer,BRAND,네이더스,169,0.18927303475232113
Summer,BRAND,노메뉴얼,120,0.13439505426200316
Summer,BRAND,노스페이스,388,0.43454400878047683
Summer,BRAND,뉴발란스,2742,3.070926989886772
Summer,BRAND,뉴에라,290,0.324788047799841
Summer,BRAND,뉴치프시크,84,0.09407653798340221
Summer,BRAND,다이브인,128,0.1433547245461367
Summer,BRAND,닥터마틴,645,0.7223734166582669
Summer,BRAND,더뮤지엄비지터,519,0.5812586096831637
Summer,BRAND,더콜디스트모먼트,176,0.19711274625093797
Summer,BRAND,던스트,65,0.07279732105858504
Summer,BRAND,데우스엑스마키나,181,0.20271254017852144
Summer,BRAND,도프제이슨,775,0.867968058775437
Summer,BRAND,드레익스,190,0.21279216924817165
Summer,BRAND,드로우핏,291,0.3259080065853577
Summer,BRAND,디스이즈네버댓,278,0.3113485423736407
Summer,BRAND,디앤써,293,0.32814792415639105
Summer,BRAND,디젤,214,0.23967118010057228
Summer,BRAND,디키즈,321,0.35950677015085847
Summer,BRAND,라코스테,167,0.18703311718128773
