token,count,share,SOURCE,TOKEN_TYPE,total_share,delta,COMMUNITY
소니,188,0.14718662167557878,ZZ,BRAND,0.16448685008973182,-0.017300228414153046,Z9DY
솔리드옴므,254,0.19885852077445215,ZZ,BRAND,0.14692781428737428,0.05193070648707787,Z9DY
수아레,652,0.5104557304919008,ZZ,BRAND,0.36589931958736266,0.1445564109045382,Z9DY
슈펜,246,0.19259526027761903,ZZ,BRAND,0.2076097762514041,-0.015014515973785059,Z9DY
슈프림,1019,0.797782805784121,ZZ,BRAND,1.116806321252889,-0.31902351546876795,Z9DY
스캇,220,0.1722396636629113,ZZ,BRAND,0.25279847133100075,-0.08055880766808945,Z9DY
스톤아일랜드,384,0.3006365038479907,ZZ,BRAND,0.5892605838379404,-0.28862407998994977,Z9DY
스투시,2133,1.6699418299681357,ZZ,BRAND,1.5803132222121805,0.08962860775595516,Z9DY
스튜디오니콜슨,207,0.16206186535555747,ZZ,BRAND,0.15803132222121805,0.004030543134339426,Z9DY
아노블리어,227,0.17772001659764033,ZZ,BRAND,0.125753682878649,0.05196633371899134,Z9DY
아더에러,1790,1.4014045361664147,ZZ,BRAND,1.0886602197461686,0.31274431642024614,Z9DY
아디다스,3244,2.539752131465838,ZZ,BRAND,2.5406375479322945,-0.0008854164664566788,Z9DY
아르켓,175,0.1370088233682249,ZZ,BRAND,0.13401675855034667,0.002992064817878226,Z9DY
아미,303,0.23722099131755514,ZZ,BRAND,0.19650626831756035,0.04071472299999479,Z9DY
아스토플렉스,36,0.028184672235749126,ZZ,BRAND,0.12342969284598403,-0.0952450206102349,Z9DY
아식스,2794,2.1874437285189736,ZZ,BRAND,2.180419092869224,0.007024635649749644,Z9DY
아워레가시,1428,1.1179919986847153,ZZ,BRAND,0.7534892128129318,0.36450278587178353,Z9DY
아워셀브스,31,0.024270134425228414,ZZ,BRAND,0.10380488812570204,-0.07953475370047364,Z9DY
아워스코프,304,0.23800389887965928,ZZ,BRAND,0.13659896969775218,0.1014049291819071,Z9DY
아이언레인저,48,0.037579562980998835,ZZ,BRAND,0.17455747356461337,-0.13697791058361453,Z9DY
아크테릭스,879,0.6881757470895412,ZZ,BRAND,0.7966121389746039,-0.10843639188506271,Z9DY
아트이프액츠,261,0.2043388737091812,ZZ,BRAND,0.23214078215175654,-0.02780190844257535,Z9DY
아페쎄,313,0.24505006693859654,ZZ,BRAND,0.22181193756213446,0.02323812937646208,Z9DY
아프레쎄,1,0.0007829075621041424,ZZ,BRAND,0.1283358940260545,-0.12755298646395036,Z9DY
안데르센,168,0.13152847043349591,ZZ,BRAND,0.17300814687617008,-0.04147967644267417,Z9DY
알렌느,742,0.5809174110812736,ZZ,BRAND,0.3504060527029295,0.23051135837834408,Z9DY
애쉬크로프트,134,0.10490961332195509,ZZ,BRAND,0.20890088182510683,-0.10399126850315174,Z9DY
애프터프레이,2055,1.6088750401240126,ZZ,BRAND,0.8825997701832079,0.7262752699408047,Z9DY
애플,742,0.5809174110812736,ZZ,BRAND,0.6625953804242574,-0.08167796934298377,Z9DY
앤더슨벨,2184,1.7098701156354468,ZZ,BRAND,1.2402360140988729,0.4696341015365739,Z9DY
어나더오피스,373,0.29202452066484513,ZZ,BRAND,0.19934670057970638,0.09267782008513875,Z9DY
어널러코드,270,0.21138504176811843,ZZ,BRAND,0.18927607710482486,0.022108964663293568,Z9DY
언더마이카,250,0.19572689052603562,ZZ,BRAND,0.14770247763159594,0.04802441289443968,Z9DY
언타이틀,224,0.17537129391132789,ZZ,BRAND,0.12342969284598403,0.05194160106534386,Z9DY
에센셜,231,0.18085164684605687,ZZ,BRAND,0.1608717544833641,0.019979892362692764,Z9DY
에스티유오피스,1045,0.8181384023988287,ZZ,BRAND,0.3855241243076446,0.43261427809118413,Z9DY
에스피오나지,529,0.41415810035309136,ZZ,BRAND,0.7015867687500806,-0.2874286683969893,Z9DY
엑슬림,197,0.15423278973451604,ZZ,BRAND,0.10328844589622094,0.0509443438382951,Z9DY
예일,185,0.14483789898926636,ZZ,BRAND,0.17197526241720787,-0.027137363427941513,Z9DY
오가프,107,0.08377110914514324,ZZ,BRAND,0.12549546176390844,-0.0417243526187652,Z9DY
오어슬로우,1267,0.9919438811859483,ZZ,BRAND,1.5738576943436666,-0.5819138131577183,Z9DY
오클리,161,0.12604811749876693,ZZ,BRAND,0.1825623281215705,-0.05651421062280357,Z9DY
와일드브릭스,228,0.17850292415974445,ZZ,BRAND,0.23059145546331325,-0.0520885313035688,Z9DY
요시다포터,125,0.09786344526301781,ZZ,BRAND,0.1267865673376112,-0.028923122074593396,Z9DY
우영미,388,0.30376813409640724,ZZ,BRAND,0.21483996746413953,0.08892816663226771,Z9DY
우포스,514,0.4024144869215292,ZZ,BRAND,0.28559255290305086,0.11682193401847835,Z9DY
웨이비니스,318,0.24896460474911727,ZZ,BRAND,0.11774882832169187,0.1312157764274254,Z9DY
위더로드,310,0.24270134425228412,ZZ,BRAND,0.20218713284185247,0.040514211410431655,Z9DY
위캔더스,123,0.09629763013880951,ZZ,BRAND,0.12162214504280015,-0.02532451490399064,Z9DY
유니온,1532,1.1994143851435461,ZZ,BRAND,0.8828579912979485,0.31655639384559764,Z9DY
유니클로,2436,1.907162821285691,ZZ,BRAND,3.545117684273043,-1.637954862987352,Z9DY
유니폼브릿지,898,0.7030509907695198,ZZ,BRAND,1.0225556143725871,-0.3195046236030673,Z9DY
유스,855,0.6693859655990417,ZZ,BRAND,0.43381147276412796,0.23557449283491377,Z9DY
이얼즈어고,184,0.1440549914271622,ZZ,BRAND,0.204769343989258,-0.060714352562095814,Z9DY
이지,363,0.2841954450438037,ZZ,BRAND,0.36434999289891934,-0.08015454785511567,Z9DY
인세인개러지,151,0.11821904187772549,ZZ,BRAND,0.35841090725988667,-0.2401918653821612,Z9DY
일꼬르소,207,0.16206186535555747,ZZ,BRAND,0.1869520870721599,-0.024890221716602434,Z9DY
자라,766,0.5997071925717731,ZZ,BRAND,0.7010703265205996,-0.10136313394882657,Z9DY
자바나스,2160,1.6910803341449474,ZZ,BRAND,1.0359831123390961,0.6550972218058513,Z9DY
