SEASON_YEAR,YEAR,SEASON,TOKEN_TYPE,token,count,share
2022-Fall,2022,Fall,BRAND,에스피오나지,382,0.897429873608044
2022-Fall,2022,Fall,BRAND,엑슬림,31,0.07282807874829676
2022-Fall,2022,Fall,BRAND,예일,106,0.24902504346191795
2022-Fall,2022,Fall,BRAND,오가프,40,0.09397171451393131
2022-Fall,2022,Fall,BRAND,오어슬로우,757,1.7784146971761499
2022-Fall,2022,Fall,BRAND,오클리,15,0.03523939294272424
2022-Fall,2022,Fall,BRAND,와일드브릭스,46,0.108067471691021
2022-Fall,2022,Fall,BRAND,요시다포터,14,0.03289010007987596
2022-Fall,2022,Fall,BRAND,우영미,109,0.25607292205046284
2022-Fall,2022,Fall,BRAND,우포스,48,0.11276605741671758
2022-Fall,2022,Fall,BRAND,웨이비니스,37,0.08692383592538645
2022-Fall,2022,Fall,BRAND,위더로드,126,0.29601090071888364
2022-Fall,2022,Fall,BRAND,위캔더스,20,0.046985857256965656
2022-Fall,2022,Fall,BRAND,유니온,293,0.6883428088145468
2022-Fall,2022,Fall,BRAND,유니클로,1001,2.351642155711131
2022-Fall,2022,Fall,BRAND,유니폼브릿지,460,1.08067471691021
2022-Fall,2022,Fall,BRAND,유스,194,0.45576281539256686
2022-Fall,2022,Fall,BRAND,이얼즈어고,75,0.1761969647136212
2022-Fall,2022,Fall,BRAND,이지,196,0.4604614011182634
2022-Fall,2022,Fall,BRAND,인세인개러지,104,0.24432645773622141
2022-Fall,2022,Fall,BRAND,일꼬르소,173,0.40642766527275287
2022-Fall,2022,Fall,BRAND,자라,225,0.5285908941408636
2022-Fall,2022,Fall,BRAND,자바나스,853,2.003946812009585
2022-Fall,2022,Fall,BRAND,젠틀몬스터,401,0.9420664380021614
2022-Fall,2022,Fall,BRAND,조던,783,1.8394963116102052
2022-Fall,2022,Fall,BRAND,조셉앤스테이시,353,0.8293003805854438
2022-Fall,2022,Fall,BRAND,주앙옴므,523,1.228680167269652
2022-Fall,2022,Fall,BRAND,지샥,92,0.216134943382042
2022-Fall,2022,Fall,BRAND,지오다노,87,0.20438847906780058
2022-Fall,2022,Fall,BRAND,챔피온,76,0.1785462575764695
2022-Fall,2022,Fall,BRAND,카시오,123,0.28896302213033875
2022-Fall,2022,Fall,BRAND,칼하트wip,51,0.11981393600526243
2022-Fall,2022,Fall,BRAND,캐피탈,52,0.12216322886811071
2022-Fall,2022,Fall,BRAND,캡틴선샤인,39,0.09162242165108302
2022-Fall,2022,Fall,BRAND,컨버스,903,2.1214114551519994
2022-Fall,2022,Fall,BRAND,코스,502,1.1793450171498379
2022-Fall,2022,Fall,BRAND,쿠어,1235,2.901376685617629
2022-Fall,2022,Fall,BRAND,크롬하츠,87,0.20438847906780058
2022-Fall,2022,Fall,BRAND,클락스,235,0.5520838227693464
2022-Fall,2022,Fall,BRAND,키뮤어,158,0.37118827233002866
2022-Fall,2022,Fall,BRAND,키스,12,0.028191514354179395
2022-Fall,2022,Fall,BRAND,키코,63,0.14800545035944182
2022-Fall,2022,Fall,BRAND,킨치,138,0.324202415073063
2022-Fall,2022,Fall,BRAND,테켓,95,0.22318282197058684
2022-Fall,2022,Fall,BRAND,토니웩,377,0.8856834092938026
2022-Fall,2022,Fall,BRAND,토피,189,0.4440163510783254
2022-Fall,2022,Fall,BRAND,톰브라운,87,0.20438847906780058
2022-Fall,2022,Fall,BRAND,팀버랜드,125,0.29366160785603534
2022-Fall,2022,Fall,BRAND,파라부트,21,0.04933515011981394
2022-Fall,2022,Fall,BRAND,파르티멘토,207,0.48630362260959453
2022-Fall,2022,Fall,BRAND,파타고니아,77,0.18089555043931776
2022-Fall,2022,Fall,BRAND,팔라스,52,0.12216322886811071
2022-Fall,2022,Fall,BRAND,페몬트,110,0.2584222149133111
2022-Fall,2022,Fall,BRAND,페이탈리즘,205,0.481605036883898
2022-Fall,2022,Fall,BRAND,포터,370,0.8692383592538646
2022-Fall,2022,Fall,BRAND,포터리,70,0.16445050039937978
2022-Fall,2022,Fall,BRAND,포트너스,92,0.216134943382042
2022-Fall,2022,Fall,BRAND,폴로,618,1.4518629892402386
2022-Fall,2022,Fall,BRAND,푸마,61,0.14330686463374523
2022-Fall,2022,Fall,BRAND,프라다,94,0.22083352910773857
2022-Fall,2022,Fall,BRAND,프라이탁,116,0.2725179720904008
2022-Fall,2022,Fall,BRAND,프로젝트지알,33,0.07752666447399333
